"Property","N","R2","concordance","MSE","RMSE","bias","MSEc","RMSEc","RPD","RPIQ"
"Mo_avg_cal",50,0.935,0.919,0.891,0.944,0.007,0.891,0.944,3.183,1.421
"Mo_avg_val",21,0.356,0.565,3.681,1.919,-0.232,3.627,1.905,1.159,1.498
"B_avg_cal",50,0.948,0.912,8.574,2.928,0.082,8.567,2.927,3.078,3.802
"B_avg_val",21,0.216,0.231,130.735,11.434,-5.594,99.437,9.972,1.002,1.563
"Ni_avg_cal",50,0.931,0.912,2.549,1.597,0.016,2.549,1.596,3.057,3.601
"Ni_avg_val",21,0.494,0.636,7.301,2.702,0.146,7.28,2.698,1.438,2.045
"Cr_avg_cal",50,0.921,0.876,12.648,3.556,-0.135,12.63,3.554,2.566,2.906
"Cr_avg_val",21,0.344,0.468,28.762,5.363,1.113,27.522,5.246,1.237,1.38
"Co_avg_cal",50,0.941,0.913,0.094,0.306,-0.001,0.094,0.306,3.087,3.846
"Co_avg_val",21,0.48,0.626,0.264,0.513,0.087,0.256,0.506,1.397,1.725
"As_avg_cal",50,0.889,0.85,0.773,0.879,0.016,0.773,0.879,2.313,1.658
"As_avg_val",21,0.324,0.499,1.662,1.289,0.34,1.547,1.244,1.181,1.118
"Cd_avg_cal",50,0.917,0.855,0.071,0.266,-0.009,0.071,0.266,2.374,0.974
"Cd_avg_val",21,0.39,0.451,0.247,0.497,-0.021,0.246,0.496,1.283,0.253
"Pb_avg_cal",50,0.955,0.846,13.298,3.647,-0.062,13.294,3.646,2.342,3.269
"Pb_avg_val",21,0.025,-0.084,47.928,6.923,3.36,36.64,6.053,0.775,0.987
"Al_avg_cal",50,0.899,0.862,277377.238,526.666,6.61,277333.539,526.625,2.415,1.542
"Al_avg_val",21,0.265,0.232,3289124.64,1813.594,-311.688,3191975.005,1786.61,1.128,0.471
"Ba_avg_cal",50,0.954,0.894,97.524,9.875,0.305,97.431,9.871,2.81,4.579
"Ba_avg_val",21,0.136,0.255,592.88,24.349,3.884,577.794,24.037,1.085,1.869
"Cd2_avg_cal",50,0.923,0.883,0.046,0.214,-0.003,0.046,0.214,2.637,1.376
"Cd2_avg_val",21,0.227,0.43,0.128,0.357,0.101,0.118,0.343,1.024,0.392
"Fe2714_avg_cal",50,0.912,0.882,519940.108,721.069,13.511,519757.567,720.942,2.605,2.067
"Fe2714_avg_val",21,0.788,0.806,403092.281,634.895,283.105,322943.802,568.281,1.977,1.842
"K4047_avg_cal",50,0.961,0.93,9121022.801,3020.103,152.292,9097830.086,3016.261,3.525,5.98
"K4047_avg_val",21,0.456,0.537,63430828.988,7964.347,-927.579,62570426.174,7910.147,1.358,1.772
"Se_avg_cal",50,0.927,0.853,0.943,0.971,-0.044,0.941,0.97,2.37,2.009
"Se_avg_val",21,0.014,0.087,3.215,1.793,0.352,3.091,1.758,0.944,1.098
"Si_avg_cal",50,0.944,0.877,3166.945,56.276,0.639,3166.537,56.272,2.597,3.819
"Si_avg_val",21,0.59,0.607,6680.235,81.733,-17.939,6358.444,79.74,1.477,1.653
"Sr_avg_cal",50,0.926,0.909,362.524,19.04,-0.591,362.175,19.031,2.981,2.033
"Sr_avg_val",21,0.694,0.737,1272.772,35.676,-8.132,1206.648,34.737,1.755,1.708
"Ti_avg_cal",50,0.947,0.906,123.052,11.093,0.396,122.896,11.086,2.983,2.224
"Ti_avg_val",21,0.312,0.414,360.249,18.98,-6.867,313.098,17.695,1.151,1.852
"V_avg_cal",50,0.932,0.92,1.436,1.199,-0.018,1.436,1.198,3.204,2.393
"V_avg_val",21,0.748,0.799,2.893,1.701,-0.095,2.884,1.698,2.011,1.421
"Y_avg_cal",50,0.946,0.922,0.08,0.282,-0.003,0.08,0.282,3.275,3.02
"Y_avg_val",21,0.331,0.462,0.765,0.875,-0.15,0.743,0.862,1.234,1.247
"Decomposition_36_month_perc_remaining_cal",25,0.933,0.85,3.985,1.996,0.144,3.964,1.991,2.52,3.259
"Decomposition_36_month_perc_remaining_val",11,0.48,0.31,42.133,6.491,-0.356,42.006,6.481,1.248,1.619
"X_cal",25,0.932,0.809,4.461,2.112,0.09,4.453,2.11,2.22,2.456
"X_val",11,0.019,-0.11,10.235,3.199,1.064,9.102,3.017,0.678,0.889
