"Property","N","R2","concordance","MSE","RMSE","bias","MSEc","RMSEc","RPD","RPIQ"
"Ba.avg_val",21,0.027,-0.112,899.964,29.999,4.135,882.867,29.713,0.88,1.517
"Cd2.avg_cal",50,0.92,0.872,0.05,0.224,-0.012,0.05,0.224,2.52,1.314
"Cd2.avg_val",21,0.043,0.185,0.191,0.437,0.119,0.176,0.42,0.839,0.321
"Fe2.avg_cal",50,0.95,0.832,703162.489,838.548,60.198,699538.65,836.384,2.24,1.778
"Fe2.avg_val",21,0.021,0.081,1790157.753,1337.968,487.775,1552232.982,1245.886,0.938,0.874
"K2.avg_cal",50,0.941,0.866,18331940.125,4281.581,208.695,18288386.352,4276.492,2.487,4.218
"K2.avg_val",21,0.225,-0.341,185339744.083,13613.954,-1096.784,184136809.571,13569.702,0.795,1.037
"Se.avg_cal",50,0.954,0.831,1.057,1.028,-0.05,1.055,1.027,2.239,1.898
"Se.avg_val",21,0.197,0.258,2.242,1.497,0.156,2.218,1.489,1.13,1.314
"Si.avg_cal",50,0.948,0.854,3726.243,61.043,0.382,3726.097,61.042,2.394,3.52
"Si.avg_val",21,0.023,0.087,15572.509,124.79,-37.01,14202.764,119.175,0.968,1.082
"Sr.avg_cal",50,0.893,0.839,638.129,25.261,-0.697,637.644,25.252,2.247,1.532
"Sr.avg_val",21,0.162,0.281,3294.616,57.399,-12.398,3140.897,56.044,1.091,1.062
"Ti.avg_cal",50,0.89,0.836,221.912,14.897,1.042,220.827,14.86,2.221,1.656
"Ti.avg_val",21,0.017,-0.095,715.37,26.746,-7.931,652.472,25.544,0.817,1.314
"V.avg_cal",50,0.907,0.874,2.316,1.522,0.087,2.308,1.519,2.524,1.885
"V.avg_val",21,0.063,-0.22,19.628,4.43,0.05,19.626,4.43,0.772,0.545
"Y.avg_cal",50,0.924,0.829,0.176,0.419,0.029,0.175,0.418,2.206,2.034
"Y.avg_val",21,0.001,0.019,1.223,1.106,-0.031,1.222,1.105,0.976,0.987
"Decomposition.36.month...remaining_cal",25,0.91,0.831,4.601,2.145,0.097,4.591,2.143,2.345,3.033
"Decomposition.36.month...remaining_val",11,0.079,-0.13,74.13,8.61,-0.82,73.457,8.571,0.941,1.221
