"Property","Comps","N","R2","concordance","MSE","RMSE","bias","MSEc","RMSEc","RPD","RPIQ"
"Ctot_to_N_.mol_to_mol._val","",4,0.748,0.136,139163.617,373.046,-246.013,78641.401,280.431,0.997,1.548
"Htot_to_Ctot_.molar._cal","3",9,0.974,0.877,0,0.018,0,0,0.018,6.576,7.984
"Htot_to_Ctot_.molar._val","",2,1,-0.107,0.004,0.065,-0.058,0.001,0.03,0.328,0.232
"Oult_to_Ctot_.molar._cal","1",9,0.495,0.588,0.001,0.037,0,0.001,0.037,1.492,2.143
"Oult_to_Ctot_.molar._val","",2,1,0.006,0.003,0.055,-0.036,0.002,0.042,1.085,0.767
"Htot_to_Corg_.molar._cal","2",9,0.817,0.799,0.002,0.049,0,0.002,0.049,2.476,3.989
"Htot_to_Corg_.molar._val","",2,1,-0.033,0.002,0.05,0.004,0.002,0.05,0.046,0.032
"Oult_to_Corg_.molar._cal","2",9,0.975,0.878,0,0.02,0,0,0.02,6.682,3.778
"Oult_to_Corg_.molar._val","",2,1,0.177,0.002,0.041,-0.03,0.001,0.029,1.296,0.917
"Oc_.Al_Si_Fe._to_Corg_.molar._cal","5",9,0.998,0.888,0,0.005,0,0,0.005,25.353,14.429
"Oc_.Al_Si_Fe._to_Corg_.molar._val","",2,1,0.488,0,0.012,-0.012,0,0.001,4.544,3.213
"Oc_.Al_Si_Fe_Ca._to_Corg_.molar._cal","5",9,1,0.889,0,0.001,0,0,0.001,473.023,5.549
"Oc_.Al_Si_Fe_Ca._to_Corg_.molar._val","",2,1,0.021,0,0.013,-0.012,0,0.002,0.326,0.23
"Oc_.Al_Si_Fe_Cinorg._to_to_Corg_.molar._cal","1",9,0.537,0.621,0.032,0.18,0,0.032,0.18,1.559,0.96
"Oc_.Al_Si_Fe_Cinorg._to_to_Corg_.molar._val","",2,1,0.121,0.003,0.059,-0.056,0,0.017,0.676,0.478
"Oc_.Cinorg._to_Corg_.molar._cal","1",9,0.499,0.592,0.034,0.184,0,0.034,0.184,1.498,0.951
"Oc_.Cinorg._to_Corg_.molar._val","",2,1,0.124,0.003,0.057,-0.054,0,0.018,0.696,0.492
"P_avg_cal","4",11,0.994,0.906,244664.031,494.635,0,244664.031,494.635,13.65,6.276
"P_avg_val","",4,0.843,0.451,4672375.793,2161.568,-1761.731,1568677.94,1252.469,1.266,0.985
"S_avg_cal","4",11,0.922,0.872,89961.412,299.936,0,89961.412,299.936,3.751,4.371
"S_avg_val","",4,0.25,0.319,531409.796,728.979,-352.61,407076.054,638.025,1.128,1.518
"Fe_avg_cal","2",11,0.86,0.841,179500.395,423.675,0,179500.395,423.675,2.803,2.922
"Fe_avg_val","",4,0.099,0.038,828049.678,909.972,126.544,812036.24,901.131,1.17,0.658
"Mn_avg_cal","2",11,0.875,0.848,1442.53,37.981,0,1442.53,37.981,2.965,1.424
"Mn_avg_val","",4,0.721,-0.466,3656.843,60.472,-20.585,3233.097,56.86,0.72,1.076
"Zn_avg_cal","3",11,0.939,0.881,555.548,23.57,0,555.548,23.57,4.256,2.126
"Zn_avg_val","",4,0.196,0.141,3000.151,54.774,47.559,738.256,27.171,0.59,0.681
"Cu_avg_cal","1",11,0.125,0.202,756.275,27.5,0,756.275,27.5,1.121,1.101
"Cu_avg_val","",4,0.651,-0.051,678.607,26.05,18.189,347.78,18.649,0.778,1.121
"Mo_avg_cal","3",11,0.843,0.831,0.549,0.741,0,0.549,0.741,2.643,1.306
"Mo_avg_val","",4,0.88,-0.367,1.235,1.111,-0.597,0.879,0.937,0.329,0.35
"B_avg_cal","4",11,0.903,0.863,7.393,2.719,0,7.393,2.719,3.375,4.135
"B_avg_val","",4,0.933,0.451,113.84,10.67,9.832,17.163,4.143,0.736,0.956
"Ni_avg_cal","1",11,0.279,0.397,9.374,3.062,0,9.374,3.062,1.235,1.993
"Ni_avg_val","",4,0.879,0.155,5.381,2.32,0.974,4.433,2.105,1.187,1.839
"Cr_avg_cal","1",11,0.251,0.365,27.509,5.245,0,27.509,5.245,1.212,2.314
"Cr_avg_val","",4,0.994,0.097,12.963,3.6,3.073,3.52,1.876,0.715,0.458
"Co_avg_cal","5",11,0.971,0.896,0.011,0.107,0,0.011,0.107,6.111,8.253
"Co_avg_val","",4,0.644,0.369,1.194,1.093,-0.857,0.46,0.678,1.108,1.229
"As_avg_cal","1",11,0.219,0.327,2.653,1.629,0,2.653,1.629,1.187,0.657
"As_avg_val","",4,0.275,-0.055,0.439,0.662,-0.265,0.369,0.607,1.013,0.744
"Cd_avg_cal","5",11,0.994,0.906,0.004,0.065,0,0.004,0.065,13.693,4.323
"Cd_avg_val","",4,0.406,-0.234,0.198,0.445,-0.252,0.135,0.367,0.715,0.789
"Pb_avg_cal","2",11,0.501,0.607,28.141,5.305,0,28.141,5.305,1.485,1.082
"Pb_avg_val","",4,0.894,0.634,13.683,3.699,-3.047,4.401,2.098,1.65,1.685
